predictor,term,pollutant_IQR,result,OR,CI_low,CI_high,p.value
PM2.5_MA_365,PM2.5_MA_365,15.103290149655,1.142 (0.978-1.334),1.14203559475058,0.97767331809595,1.33402975772865,0.0938957150115909
SO4_MA_365,SO4_MA_365,2.82870244295701,1.172 (0.997-1.379),1.17216963985705,0.996566722979899,1.37871517573271,0.0550519612256826
NO3_MA_365,NO3_MA_365,3.28043621049682,1.133 (0.972-1.321),1.13276979786903,0.97158757599373,1.3206914607279,0.111400210634474
NH4_MA_365,NH4_MA_365,1.99539013214376,1.116 (0.961-1.295),1.11568451052305,0.961179135303947,1.29502595437367,0.150043285639397
OM_MA_365,OM_MA_365,3.47450103396979,1.218 (1.055-1.407),1.21820261681712,1.05456022922026,1.40723836771025,0.00732254951823806
BC_MA_365,BC_MA_365,0.712384652660463,1.197 (1.037-1.381),1.19650106636202,1.03654307404213,1.38114357006188,0.0142782367192993
